Title;title_year;budget;Gross;actor_1_name;actor_2_name;actor_3_name;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;IMDb_rating;genre_1;genre_2;genre_3;MetaCritic;Runtime;CVotes10;CVotes09;CVotes08;CVotes07;CVotes06;CVotes05;CVotes04;CVotes03;CVotes02;CVotes01;CVotesMale;CVotesFemale;content_rating;Country
The Revenant;2015;135000000;183635922;Leonardo DiCaprio;Tom Hardy;Lukas Haas;29000;27000;733;8;Adventure;Drama;Thriller;76;156;79977;121229;158019;91154;33492;12837;5571;3386;2320;4570;323938;61051;R;USA
The Hunger Games: Catching Fire;2013;130000000;424645577;Jennifer Lawrence;Josh Hutcherson;Sandra Ellis Lafferty;34000;14000;523;7.6;Action;Adventure;Mystery;76;146;85219;83874;150153;121748;50575;18571;7591;4094;2675;6978;307237;115421;PG-13;USA
The Martian;2015;108000000;228430993;Matt Damon;Donald Glover;Benedict Wong;13000;801;372;8;Adventure;Drama;Sci-Fi;80;144;75560;139593;200315;102723;31179;9930;3815;2046;1316;2907;359265;71421;PG-13;USA
Gravity;2013;100000000;274084951;Phaldut Sharma;Basher Savage;Amy Warren;39;23;13;7.8;Drama;Sci-Fi;Thriller;96;91;89986;127616;169693;122275;57564;25393;12286;7868;5751;12473;427135;87618;PG-13;UK
Django Unchained;2012;100000000;162804648;Leonardo DiCaprio;Christoph Waltz;Ato Essandoh;29000;11000;265;8.4;Drama;Western;;81;165;234824;339329;286911;121445;38251;14227;6469;4149;3181;8065;695211;139226;R;USA
The Wolf of Wall Street;2013;100000000;116866727;Leonardo DiCaprio;Matthew McConaughey;Jon Favreau;29000;11000;4000;8.2;Biography;Comedy;Crime;75;180;171660;236650;250667;129164;46715;18682;8674;5854;4258;9689;559564;123698;R;USA
Rise of the Planet of the Apes;2011;93000000;176740650;James Franco;David Oyelowo;Tyler Labine;11000;1000;779;7.6;Action;Drama;Sci-Fi;68;124;38666;61881;150351;116877;40634;13541;5252;2524;1566;2773;320581;47940;PG-13;USA
The Girl with the Dragon Tattoo;2011;90000000;102515793;Robin Wright;Goran Visnjic;Joely Richardson;18000;1000;585;7.8;Crime;Drama;Mystery;71;158;42288;71561;124463;72617;23722;8041;3339;1846;1330;3369;240171;62813;R;USA
The Little Prince;2015;81200000;1339152;Jeff Bridges;James Franco;Mackenzie Foy;12000;11000;6000;7.8;Animation;Adventure;Drama;70;108;7565;7321;11668;8558;3370;1162;456;227;158;293;22441;9552;PG;France
Shutter Island;2010;80000000;127968405;Leonardo DiCaprio;Joseph Sikora;Nellie Sciutto;29000;223;163;8.1;Mystery;Thriller;;63;138;150405;230844;278844;132349;45167;15615;7061;3780;2662;4703;570554;136360;R;USA
Despicable Me;2010;69000000;251501645;Steve Carell;Miranda Cosgrove;Jack McBrayer;7000;2000;975;7.7;Animation;Adventure;Comedy;72;124;56474;66298;136943;102534;35207;11448;4000;1862;1024;1825;251408;91545;PG;USA
Fury;2014;68000000;85707116;Brad Pitt;Logan Lerman;Jim Parrack;11000;8000;697;7.6;Action;Drama;War;64;134;36753;54703;111271;82505;30231;10553;4303;2388;1629;3246;238800;30746;R;USA
Gone Girl;2014;61000000;167735396;Patrick Fugit;Sela Ward;Emily Ratajkowski;835;812;625;8.1;Crime;Drama;Mystery;79;149;89539;177373;218018;103600;32989;11691;5285;3262;2247;5500;397571;113606;R;USA
Les Mis̩rables;2012;61000000;148775460;Hugh Jackman;Eddie Redmayne;Anne Hathaway;20000;13000;11000;7.6;Drama;Musical;Romance;63;158;54268;47750;63323;45160;22393;10744;5551;3484;2490;5020;141014;73591;PG-13;USA
The Lego Movie;2014;60000000;257756197;Morgan Freeman;Will Ferrell;Alison Brie;11000;8000;2000;7.8;Animation;Action;Adventure;83;100;41269;50795;83773;55181;21793;8596;3680;2053;1466;2918;180122;37351;PG;Australia
Scott Pilgrim vs. the World;2010;60000000;31494270;Anna Kendrick;Kieran Culkin;Ellen Wong;10000;1000;719;7.5;Action;Comedy;Romance;69;112;47292;48976;79198;59689;28452;13451;6977;4254;3069;6287;208417;45718;PG-13;USA
Deadpool;2016;58000000;363024263;Ryan Reynolds;Ed Skrein;Stefan Kapicic;16000;805;361;8;Action;Adventure;Comedy;65;108;147467;147966;170810;105717;41811;15510;7046;4273;3037;8538;391955;79804;R;USA
Captain Phillips;2013;55000000;107100855;Tom Hanks;Chris Mulkey;Michael Chernus;15000;535;186;7.8;Biography;Drama;Thriller;83;134;37461;70216;133266;76657;21791;6099;2051;1062;707;1517;247889;41602;PG-13;USA
